age,p1,p2.5,p5,p50,p75
67.08,963009.08,1285495.58,1658559.85,5805437.42,9323144.56
67.17,953167.51,1280180.33,1654950.56,5821860.4,9339691.67
67.25,972887.9,1286026.86,1657005.19,5853943.76,9396365.0
67.33,963716.79,1277789.22,1660159.31,5868656.3,9444948.84
67.42,950154.8,1288906.53,1662593.63,5902283.36,9485747.41
67.5,939781.14,1290974.11,1664286.02,5917032.09,9509043.16
67.58,955120.55,1287607.06,1683762.87,5927555.79,9540131.65
67.67,952704.35,1292690.28,1684270.75,5948952.38,9572657.72
67.75,952698.44,1294324.38,1678509.37,5967564.56,9646345.94
67.83,943161.83,1296493.98,1668364.78,5986018.91,9699418.66
67.92,959417.67,1292331.11,1668573.18,6012385.1,9748872.06
68.0,950521.77,1282867.25,1672898.38,6027406.06,9781678.84
68.08,952091.81,1294237.07,1663587.03,6038512.25,9825161.96
68.17,959780.18,1295088.21,1669430.8,6059357.18,9893183.39
68.25,959188.42,1283252.48,1677260.71,6070492.01,9946871.59
68.33,964024.57,1290635.63,1666093.67,6091447.45,9959068.02
68.42,953080.96,1297125.65,1670120.22,6101812.25,9997163.06
68.5,946300.47,1302004.25,1678128.27,6118241.91,10065380.94
68.58,941867.76,1304100.62,1681216.38,6131610.11,10069235.48
68.67,943911.83,1296064.46,1688856.22,6165095.81,10141518.2
68.75,938062.74,1303722.44,1697967.87,6191776.81,10173974.59
68.83,942588.63,1290976.88,1693228.09,6192630.86,10240204.44
68.92,942575.28,1295040.14,1702164.08,6224374.26,10276923.54
69.0,942879.22,1298433.7,1693801.17,6239393.92,10327407.51
69.08,939563.63,1292824.55,1689638.72,6242219.56,10356650.31
69.17,942618.08,1304647.46,1700624.36,6289141.29,10434764.51
69.25,936428.98,1316063.0,1696245.9,6301643.03,10533107.51
69.33,934947.0,1322268.46,1688194.73,6336482.82,10539703.9
69.42,924265.7,1316975.98,1694878.79,6325939.35,10626098.6
69.5,920735.24,1322072.04,1696660.78,6369956.85,10665803.93
69.58,925245.38,1307182.82,1696686.56,6377884.92,10683923.96
69.67,929759.45,1288439.77,1685691.82,6419201.78,10735052.89
69.75,935220.84,1290626.61,1697376.41,6433567.49,10813329.46
69.83,939654.8,1283747.81,1702371.42,6473645.26,10853955.25
69.92,947648.2,1286139.77,1689036.91,6484828.38,10900801.87
70.0,932294.61,1271875.65,1708081.33,6536308.75,10923260.31
70.08,937629.26,1288382.7,1700867.58,6557280.12,11006681.89
70.17,935033.97,1278409.42,1713768.15,6572366.63,11061646.28
70.25,932745.46,1278323.27,1702804.79,6587846.84,11099561.56
70.33,929312.71,1275451.21,1703504.68,6599865.79,11078911.09
70.42,909793.06,1283468.62,1707650.0,6622570.17,11157275.9
70.5,917338.2,1273677.62,1701394.33,6656642.52,11206344.19
70.58,903825.33,1270892.85,1691957.41,6668383.3,11295962.06
70.67,915718.67,1272137.89,1704835.94,6713104.1,11336246.49
70.75,898905.52,1254532.69,1720887.85,6738399.33,11354724.05
70.83,909141.73,1266577.35,1709064.74,6755311.8,11384055.51
70.92,897280.17,1264507.61,1699930.16,6777330.34,11445112.78
71.0,887913.06,1263123.04,1714764.74,6801386.38,11532194.36
71.08,892897.63,1265541.3,1709663.1,6822342.3,11574156.44
71.17,884909.69,1262168.26,1721747.94,6844259.74,11583969.87
71.25,889283.65,1268578.64,1723132.87,6855485.12,11586622.09
71.33,887504.33,1264725.51,1729753.87,6869815.99,11572278.79
71.42,884088.23,1250163.99,1722747.78,6878523.55,11660298.79
71.5,891520.74,1261828.72,1728530.78,6909156.16,11706305.37
71.58,892763.42,1255227.32,1729050.64,6916405.87,11839671.81
71.67,881223.04,1259567.43,1749040.41,6939050.22,11869330.88
71.75,887104.38,1250207.48,1751587.35,6970594.94,11914252.7
71.83,882611.11,1250045.29,1739967.11,7003542.59,11977424.43
71.92,888805.71,1248631.17,1745683.77,7037442.58,11958635.26
72.0,885740.65,1250527.97,1750377.34,7058172.34,12062396.28
72.08,871445.42,1262710.65,1746399.97,7095959.39,12128221.01
72.17,887422.45,1263969.4,1748876.42,7127960.94,12216380.97
72.25,874745.13,1264297.18,1746394.63,7178126.1,12273623.35
72.33,869077.49,1261536.31,1750963.23,7219025.54,12352434.61
72.42,868486.9,1271662.72,1742765.62,7235381.65,12344139.07
72.5,847211.4,1268701.22,1749616.56,7281180.81,12414662.1
72.58,854191.72,1274577.7,1750259.58,7296705.77,12459812.58
72.67,865280.73,1264226.28,1759009.79,7335858.93,12504359.8
72.75,860341.92,1271338.24,1774036.41,7344289.51,12534857.39
72.83,861422.43,1277688.08,1776382.42,7350858.11,12570704.66
72.92,873446.12,1267809.94,1781659.09,7389463.52,12651768.28
73.0,867467.01,1272863.34,1772583.06,7406705.55,12693420.35
73.08,864099.24,1264422.3,1776202.13,7425977.33,12711219.91
73.17,857145.57,1269273.71,1778263.09,7437466.29,12819213.52
73.25,846740.62,1267999.02,1786902.18,7469236.16,12903021.71
73.33,839764.42,1266108.28,1792586.28,7528647.45,12965336.05
73.42,844128.45,1281050.68,1788004.45,7545361.98,12964397.18
73.5,837006.64,1280914.45,1778239.46,7553379.99,13017938.31
73.58,838265.27,1292549.78,1783420.0,7580230.4,13041926.74
73.67,827647.16,1289372.14,1777889.43,7599231.74,13097352.94
73.75,818115.72,1279611.79,1779413.76,7649807.38,13143245.63
73.83,829665.75,1283921.06,1775931.4,7670852.13,13219223.72
73.92,819116.11,1287214.42,1777890.96,7699931.55,13295555.66
74.0,803956.4,1284543.78,1775533.55,7711802.77,13350760.82
74.08,820451.54,1293714.25,1787130.63,7730399.29,13401712.38
74.17,819618.28,1280928.37,1770744.38,7765102.45,13465234.18
74.25,824219.1,1259330.69,1786072.9,7784476.18,13501724.86
74.33,811896.5,1273622.62,1777640.85,7805088.08,13535881.28
74.42,816270.5,1279115.07,1779529.8,7841569.73,13649314.21
74.5,823184.86,1291057.57,1790620.06,7898545.19,13734544.05
74.58,821260.96,1280976.29,1789405.83,7913419.73,13752383.98
74.67,809886.68,1285304.65,1778458.67,7918633.28,13822818.63
74.75,808536.0,1286646.64,1794405.46,7953084.77,13887743.33
74.83,810944.15,1291966.9,1805171.08,7971780.05,13961782.32
74.92,814182.94,1289047.03,1792851.67,7987275.44,14068717.37
75.0,801553.58,1289564.02,1786443.36,8047328.98,14082334.46
75.08,790436.28,1274118.01,1779668.41,8051508.67,14143525.11
75.17,787018.36,1270053.63,1803796.91,8059985.08,14213005.87
75.25,787800.23,1276921.03,1790218.25,8106051.41,14262452.73
75.33,773072.32,1278390.75,1812885.31,8133997.25,14341703.97
75.42,773525.25,1282484.69,1804027.58,8170319.03,14414756.01
75.5,776766.06,1277464.44,1800864.89,8174390.65,14455700.99
75.58,763244.11,1272593.37,1796689.68,8230218.28,14504342.65
75.67,749013.66,1281021.47,1807786.08,8238459.68,14573729.3
75.75,753136.7,1291004.33,1828432.59,8284270.45,14671427.55
75.83,753706.28,1285433.93,1820425.13,8343666.52,14679653.21
75.92,754653.61,1283231.34,1827154.73,8401226.32,14666228.95
76.0,754037.29,1276117.46,1819327.58,8440094.06,14736403.39
76.08,752134.21,1287308.73,1818888.38,8466095.94,14794577.76
76.17,768341.35,1263239.95,1826799.39,8510681.59,14850384.81
76.25,766600.19,1286095.97,1824645.8,8549224.84,14996191.71
76.33,771734.56,1296954.07,1818016.46,8569970.33,15071905.04
76.42,755972.9,1291021.65,1826350.98,8613573.44,15096818.72
76.5,762194.78,1299804.62,1828610.84,8625096.68,15224032.11
76.58,748887.71,1306343.37,1816764.72,8660346.62,15375217.86
76.67,751258.57,1301742.24,1809573.91,8676789.39,15411944.27
76.75,769187.15,1303464.7,1804222.52,8665066.44,15454444.72
76.83,757649.72,1286577.9,1821828.17,8696462.91,15514465.83
76.92,733596.19,1288439.69,1828124.05,8739992.38,15581900.79
77.0,732905.66,1288134.77,1842206.17,8752818.19,15642711.53
77.08,743248.51,1283187.56,1840657.58,8809607.57,15629347.76
77.17,733273.71,1275813.72,1835961.18,8839080.52,15706799.53
77.25,728430.31,1285305.56,1849288.5,8900428.76,15804673.29
77.33,729296.8,1267850.17,1847228.63,8937898.06,15873032.75
77.42,731173.55,1267996.88,1846934.4,8936280.85,15927486.71
77.5,731632.22,1274598.58,1865764.02,9008392.74,15972933.54
77.58,735517.23,1273799.84,1861949.64,9036345.61,16056080.41
77.67,735493.57,1265706.4,1864724.06,9044881.55,16056934.01
77.75,736488.29,1277828.26,1869013.02,9081128.25,16102351.64
77.83,728599.76,1260246.82,1858169.77,9121184.3,16170805.92
77.92,726723.09,1259955.25,1862487.46,9144502.13,16245937.74
78.0,729325.93,1260831.7,1877443.83,9208517.23,16397562.89
78.08,741013.79,1265926.01,1871410.52,9231492.81,16490602.04
78.17,718396.79,1259900.96,1876473.21,9286500.56,16555389.56
78.25,738807.04,1252981.18,1883776.69,9282977.78,16537438.64
78.33,744128.23,1269741.53,1888900.03,9278232.69,16675982.08
78.42,730048.03,1266414.95,1893689.48,9334234.71,16742146.43
78.5,730801.91,1273601.05,1900939.6,9363054.03,16803965.17
78.58,724303.02,1261854.24,1883737.49,9426468.76,16862524.47
78.67,730192.88,1260201.79,1906301.42,9462521.72,16946020.28
78.75,725929.36,1255888.39,1912927.64,9502016.83,17016585.33
78.83,724573.27,1260678.74,1906013.66,9504806.47,17168943.69
78.92,721160.35,1251498.19,1913590.79,9528029.65,17230155.16
79.0,722298.69,1250044.29,1909489.45,9571946.69,17282189.57
79.08,709395.4,1247339.46,1907150.44,9640255.24,17343839.14
79.17,725144.57,1252763.37,1910151.16,9666343.06,17415759.25
79.25,721595.03,1251699.82,1924460.5,9698438.57,17524450.75
79.33,712691.18,1236414.25,1931127.02,9754029.74,17616085.71
79.42,709130.3,1240198.71,1931823.34,9776028.49,17698550.77
79.5,707898.94,1248609.66,1933894.76,9815982.83,17776285.27
79.58,704341.18,1244223.44,1927533.69,9884355.39,17868913.36
79.67,698678.04,1228525.56,1931450.17,9911812.88,17940083.82
79.75,702331.69,1220763.51,1924715.38,9941776.21,18001709.29
79.83,700963.09,1211577.36,1923199.13,9977985.06,18081771.58
79.92,704242.33,1220372.06,1918845.41,9985586.81,18216400.17
80.0,708921.97,1219023.07,1927787.46,10071196.57,18336730.28
80.08,710547.89,1217821.09,1955495.97,10102294.02,18354122.16
80.17,712484.19,1218173.68,1956100.68,10115583.05,18406924.67
80.25,701407.47,1209078.38,1944352.69,10148415.54,18556692.88
80.33,693602.93,1214752.17,1939741.22,10170504.55,18677232.62
80.42,683906.58,1214018.45,1929061.63,10180238.58,18776145.8
80.5,675762.73,1225220.61,1936228.33,10189166.47,18867536.01
80.58,678253.56,1222600.36,1933986.2,10219405.5,18983816.56
80.67,679259.51,1212065.36,1941064.27,10265624.51,19017652.02
80.75,673495.63,1205094.42,1960106.02,10321429.82,19091508.09
80.83,684845.95,1215006.47,1948428.92,10367632.36,19153506.87
80.92,690318.27,1205634.25,1948553.75,10397075.37,19206920.75
81.0,675510.56,1215465.75,1947584.36,10407003.68,19239946.3
81.08,665705.24,1207885.12,1955854.36,10495330.36,19309444.52
81.17,700462.92,1202030.8,1955466.02,10581545.59,19444584.19
81.25,672757.97,1212468.45,1948468.71,10602441.05,19502353.79
81.33,684492.81,1198534.25,1964030.66,10631811.32,19461870.4
81.42,650432.6,1208721.46,1964578.89,10677429.82,19626646.83
81.5,655771.4,1203011.47,1955036.31,10720252.76,19754640.77
81.58,676390.01,1212315.62,1961218.34,10756566.97,19826387.1
81.67,684443.0,1205479.95,1975346.0,10810361.48,19901641.92
81.75,676775.97,1193065.34,1974721.74,10825096.22,20074321.51
81.83,681161.03,1213038.64,1959181.46,10859136.78,20074679.6
81.92,656118.13,1210576.56,1952471.17,10936481.64,20278433.84
82.0,652012.36,1222348.15,1955802.34,10978617.52,20426284.29
82.08,647249.55,1202498.47,1973682.69,10988375.77,20417158.34
82.17,637728.12,1206051.31,1968664.18,11081630.77,20492716.14
82.25,629385.17,1202510.9,1969510.75,11098005.19,20672991.77
82.33,640519.34,1202247.5,1970554.26,11166676.49,20720545.19
82.42,638265.84,1198612.89,1987459.09,11165034.82,20733135.04
82.5,652035.89,1205808.31,1975724.44,11217531.94,20852361.15
82.58,633497.93,1220234.94,1957874.71,11238305.92,20857923.34
82.67,636802.1,1213657.03,1962314.06,11295722.6,21011693.96
82.75,640459.79,1225061.21,1972203.41,11323403.84,21093991.46
82.83,631385.01,1224077.21,1965550.64,11393290.43,21135627.59
82.92,626545.89,1225992.72,1975792.61,11381386.59,21274197.7
83.0,644977.22,1209140.53,1977805.81,11446177.5,21314081.11
83.08,636282.84,1208609.58,1968257.7,11477619.24,21410639.97
83.17,618411.08,1228454.03,1973822.53,11556070.36,21588867.12
83.25,634792.0,1242587.07,1976619.43,11595271.53,21635357.97
83.33,640350.11,1248237.98,1991146.63,11629158.38,21762540.1
83.42,623034.2,1223905.8,1992885.42,11630805.47,21987374.61
83.5,627602.99,1235367.51,2007725.18,11710060.48,21918861.04
83.58,642751.38,1244302.91,2004236.94,11753014.26,22007787.47
83.67,628707.25,1235763.76,2005848.48,11783860.57,22091951.22
83.75,636205.38,1216342.82,2018211.54,11779059.58,22136806.2
83.83,630535.16,1222752.96,2032991.96,11880033.27,22251010.19
83.92,624587.33,1242248.29,2009205.99,11962462.89,22373719.77
84.0,611913.16,1224886.14,2006387.83,12012837.46,22400962.54
84.08,620780.44,1234262.76,2017887.03,12054087.73,22470198.68
84.17,614687.06,1235536.0,2003261.91,12096997.98,22619818.3
84.25,614868.39,1237647.76,2021519.98,12099774.12,22791148.86
84.33,620999.94,1234321.7,2021551.62,12173405.06,22903465.01
84.42,608357.08,1244529.2,2025701.75,12198066.52,23013721.91
84.5,616388.53,1229606.13,2016616.72,12235322.78,23019355.34
84.58,621856.15,1236913.56,2022934.86,12333217.06,23148845.08
84.67,620592.78,1226297.44,2032821.3,12359726.12,23192566.33
84.75,643879.02,1224704.48,2033189.21,12414547.93,23378198.53
84.83,651700.19,1215499.72,2045375.05,12450026.24,23492282.33
84.92,625568.42,1240101.48,2025289.9,12518585.88,23652008.91
85.0,627029.42,1229843.52,2059451.69,12541029.65,23788846.88
85.08,619455.67,1234016.45,2039602.36,12571424.21,23906862.91
85.17,631409.37,1215084.7,2035678.36,12640784.85,24042956.72
85.25,618003.23,1232061.83,2030377.48,12724946.87,24177989.39
85.33,617941.7,1202601.38,2024254.14,12754512.57,24294637.06
85.42,613564.24,1205121.87,2024578.83,12770583.36,24434431.89
85.5,610044.18,1209644.49,2042719.73,12855338.41,24485404.92
85.58,588968.42,1222387.66,2048236.67,12872222.37,24603770.44
85.67,603291.82,1213248.77,2050119.64,12943746.77,24611364.87
85.75,605093.84,1182321.86,2035164.74,12999211.04,24756085.93
85.83,604940.03,1195915.64,2054135.97,13042699.12,24825891.5
85.92,603424.99,1189093.19,2057398.54,13068303.05,25041101.77
86.0,618937.17,1191342.82,2072695.34,13148783.01,25156439.67
86.08,608743.09,1198055.8,2054477.15,13120254.88,25282058.49
86.17,612383.17,1196126.75,2065570.24,13182305.54,25501953.01
86.25,624737.75,1191724.19,2058363.17,13190247.71,25495898.06
86.33,606801.31,1188626.74,2066117.27,13260311.89,25687915.37
86.42,624919.2,1191447.67,2069825.19,13344453.87,25754147.22
86.5,632587.4,1190608.81,2057718.12,13363523.44,25834762.37
86.58,622592.7,1192460.01,2061564.84,13466125.69,26025015.84
86.67,627532.76,1200694.19,2077477.82,13534277.26,26026811.41
86.75,624199.62,1221127.58,2081533.25,13583542.63,26183798.15
86.83,614673.69,1204661.25,2087329.91,13603070.67,26275268.22
86.92,615431.77,1207973.15,2079317.67,13637156.35,26403738.66
87.0,608667.62,1225788.89,2088390.58,13695607.71,26624765.32
87.08,606140.86,1224471.98,2105919.68,13741037.59,26704309.86
87.17,617983.47,1220549.27,2128232.27,13764697.09,26886588.98
87.25,624595.56,1214594.99,2110296.09,13768775.11,26936521.05
87.33,638720.72,1201758.74,2142896.03,13853065.91,27042965.12
87.42,631996.99,1204475.22,2125747.89,13850783.2,27025216.02
87.5,640291.01,1195782.99,2129992.76,13965884.69,26992080.71
87.58,636469.83,1201784.2,2133484.5,13962723.05,27183750.51
87.67,623796.62,1204977.72,2123153.0,13991066.03,27222118.59
87.75,627291.75,1194997.78,2122957.93,14085930.4,27448242.38
87.83,615483.87,1193726.42,2133812.3,14100558.35,27550643.69
87.92,607922.15,1187872.67,2140348.37,14224232.85,27695205.84
88.0,612346.06,1191463.96,2132803.69,14245831.82,27871260.21
88.08,598146.24,1196217.55,2124185.92,14244790.36,27959270.81
88.17,602012.85,1205129.24,2144222.56,14343330.61,28253498.88
88.25,593201.95,1195762.03,2149887.38,14411089.59,28142152.01
88.33,595460.4,1203286.45,2162041.81,14497515.93,28350078.23
88.42,598000.57,1220455.8,2163651.49,14549286.92,28446734.09
88.5,588733.27,1202120.3,2158023.56,14596852.86,28522859.71
88.58,587256.15,1218139.77,2151805.88,14713152.56,28470371.26
88.67,587388.86,1217084.82,2167992.83,14717713.48,28719583.14
88.75,583455.33,1241623.41,2160580.97,14797783.03,28972717.44
88.83,571559.21,1245498.26,2150192.19,14785323.28,29093169.65
88.92,574886.1,1246296.4,2154626.34,14850948.54,29241629.37
89.0,572657.69,1216881.16,2157954.51,14877486.08,29427720.4
89.08,580643.41,1224669.65,2143804.95,14963073.65,29554332.47
89.17,574331.68,1236415.59,2142237.92,14949771.85,29581419.17
89.25,564522.99,1216011.92,2171195.83,15034480.82,29675246.21
89.33,571965.97,1213879.86,2166428.83,15086990.51,29837928.98
89.42,556147.48,1197581.26,2169769.34,15134317.24,29939468.54
89.5,565894.7,1165939.29,2177794.6,15193995.19,29996016.0
89.58,576285.05,1161469.94,2180876.96,15206518.06,30064698.88
89.67,590055.82,1183939.94,2186656.07,15272320.42,30247548.55
89.75,600392.26,1198149.01,2200289.84,15349629.58,30181203.17
89.83,586568.51,1195574.01,2196474.0,15373598.62,30387369.91
89.92,572378.36,1211797.33,2196970.22,15459455.08,30420178.65
90.0,562331.25,1213518.36,2208129.48,15426358.81,30527095.79
90.08,563534.21,1226733.09,2197280.0,15547574.2,30725740.37
90.17,568584.01,1226173.31,2189171.95,15574626.56,30955439.07
90.25,576402.29,1217746.55,2204069.57,15651954.73,31189430.28
90.33,577637.9,1223175.85,2233346.83,15715574.93,31200416.57
90.42,585822.62,1230409.36,2225518.97,15801531.22,31313060.25
90.5,563489.49,1222474.35,2250536.44,15902234.01,31504484.0
90.58,552074.94,1200565.4,2258489.94,15903996.18,31624563.6
90.67,547629.44,1207823.68,2236091.97,15999475.09,31826412.87
90.75,543418.08,1220447.87,2252077.13,16088776.19,32042109.55
90.83,551354.33,1195966.64,2255050.54,16080464.68,32124484.94
90.92,554850.51,1211264.37,2269344.09,16164706.87,32120992.99
91.0,556147.26,1228693.36,2292090.4,16219467.67,32418864.69
91.08,556507.37,1233584.07,2270511.1,16300944.03,32549969.13
91.17,559656.25,1240027.19,2272208.77,16338103.72,32654311.93
91.25,564047.42,1245702.8,2268245.12,16328598.71,32872333.89
91.33,570513.44,1237131.19,2266343.83,16462698.57,33054114.7
91.42,570151.53,1247460.17,2266099.66,16479576.03,33123289.49
91.5,569946.3,1226307.95,2276365.3,16624013.22,33294017.42
91.58,567472.66,1225926.44,2271595.8,16643658.04,33398130.01
91.67,562534.96,1230943.3,2271823.29,16716061.59,33606262.45
91.75,569323.39,1251410.26,2282865.0,16805966.0,33722759.38
91.83,577601.27,1223293.37,2269734.86,16863573.06,33816184.34
91.92,529023.14,1200518.33,2273164.94,16984403.0,34069777.65
92.0,531746.05,1205437.22,2263935.89,17078390.03,34145907.7
92.08,528017.07,1215936.92,2261146.3,17105980.18,34383898.34
92.17,475892.96,1224056.26,2254951.43,17189686.92,34596197.15
92.25,478371.77,1237063.14,2261038.32,17245624.7,34622810.21
92.33,475421.07,1256813.71,2269863.29,17367336.84,34825338.33
92.42,482198.39,1264049.03,2288765.02,17420749.25,34979672.21
92.5,492328.55,1249415.23,2286669.96,17445446.15,35224745.28
92.58,492073.88,1250686.12,2274671.33,17486356.0,35330382.9
92.67,505907.69,1250335.58,2263831.34,17655518.08,35488398.67
92.75,493327.42,1255069.17,2275672.85,17738352.23,35767472.7
92.83,496709.04,1257036.36,2261042.31,17771657.46,35842375.19
92.92,480817.17,1251310.8,2256231.08,17808652.17,35925166.08
93.0,478172.21,1258303.86,2257133.43,17799067.8,36145681.34
93.08,501736.28,1267247.26,2286455.14,17938310.73,36349783.54
93.17,510654.56,1247653.57,2266127.62,17980328.42,36492176.54
93.25,509539.5,1264519.36,2277449.24,17991988.69,36516204.72
93.33,478683.72,1250198.89,2262979.26,18079426.75,36560504.89
93.42,474375.28,1269594.48,2268639.88,18144684.9,36768595.89
93.5,487741.65,1272118.81,2263139.13,18227691.69,37030252.09
93.58,479478.59,1270759.09,2257398.35,18368557.39,37234190.69
93.67,483303.34,1250389.73,2274902.28,18430691.0,37301459.69
93.75,455921.23,1240859.32,2294519.0,18451393.03,37377436.96
93.83,475623.38,1269351.75,2287171.15,18456195.61,37554142.42
93.92,460545.25,1272817.13,2294617.83,18538867.97,37741676.41
94.0,455000.63,1269251.65,2292659.88,18618024.69,37944456.26
94.08,456146.34,1263291.74,2295634.16,18652000.97,38222616.43
94.17,447187.95,1258654.56,2292103.72,18717566.52,38614964.36
94.25,457186.14,1269753.49,2300415.25,18915301.96,38892023.15
94.33,453510.14,1259478.8,2311166.42,18929274.23,39004163.95
94.42,437909.23,1258018.22,2351085.42,19066912.52,39019846.17
94.5,433232.16,1249968.04,2346244.72,19141577.87,39199590.05
94.58,434608.84,1216584.39,2340613.8,19206809.92,39469369.41
94.67,435477.08,1234637.04,2341763.2,19223395.9,39541038.39
94.75,430490.2,1231402.3,2365636.09,19419369.84,39798023.88
94.83,430712.68,1243068.29,2365964.87,19516751.72,39847907.55
94.92,422016.63,1240001.76,2354648.62,19505453.15,39997191.58
95.0,421059.06,1245911.45,2375072.17,19616274.2,40146983.67
95.08,406518.1,1247345.44,2369487.23,19688868.25,40174020.63
95.17,414374.63,1246888.49,2391125.51,19754126.93,40248564.05
95.25,419694.91,1247028.64,2386066.98,19777327.2,40371439.81
95.33,410906.74,1250451.51,2413905.02,19854176.4,40772908.77
95.42,408623.48,1240666.84,2437848.3,19897873.62,40748130.72
95.5,411253.85,1241895.87,2430412.85,20045139.29,40924765.76
95.58,427926.16,1267107.09,2446203.84,20141383.15,41070572.62
95.67,406393.18,1242812.48,2414138.97,20207920.4,41132098.43
95.75,406265.63,1237928.39,2412355.89,20254365.93,41702062.96
95.83,392223.78,1249482.99,2437409.77,20341995.26,41738662.38
95.92,404759.11,1255939.05,2409438.03,20528422.57,41987793.94
96.0,399605.5,1241628.37,2432526.6,20548627.73,42120914.03
96.08,387499.78,1241483.79,2438405.89,20685263.1,42247233.69
96.17,385065.82,1243637.16,2442937.49,20786273.87,42273120.6
96.25,376911.66,1263180.31,2429045.61,20831217.06,42425183.4
96.33,373044.98,1234149.5,2459435.76,20879697.75,42773129.01
96.42,370437.27,1253561.92,2440628.01,20885168.65,42884616.55
96.5,374877.51,1245832.12,2421783.81,20987361.2,43119491.87
96.58,374814.61,1244572.72,2438968.25,21062697.85,43238166.44
96.67,376425.29,1257277.66,2454036.34,21091981.07,43451820.44
96.75,371279.51,1235905.76,2433160.66,21162612.74,43930525.73
96.83,378111.37,1253899.96,2441714.19,21273150.15,43822278.99
96.92,384331.82,1258827.28,2451619.62,21327113.14,44140952.34
97.0,377870.46,1267228.42,2472088.95,21382727.31,44350475.98
97.08,366626.26,1291872.64,2495704.98,21569513.12,44644757.68
97.17,369821.87,1294357.73,2501407.8,21550522.17,44741464.3
97.25,367903.77,1277872.13,2489484.72,21674546.92,44997423.87
97.33,365123.22,1284860.64,2466649.97,21759771.0,45312172.17
97.42,368245.64,1286065.36,2487000.84,21839820.07,45461673.79
97.5,362114.28,1273672.51,2495636.01,21853672.93,45598828.38
97.58,357197.36,1271073.39,2499512.6,21906783.44,45822393.22
97.67,362119.34,1255605.08,2481573.91,22078486.61,45853872.01
97.75,354868.15,1267317.56,2475564.38,22176739.66,46053567.76
97.83,351844.33,1269177.36,2508920.03,22256584.01,46260296.86
97.92,346726.78,1265492.67,2515433.06,22361163.07,46542591.79
98.0,348020.85,1269820.17,2495129.42,22455433.2,47037319.22
98.08,348102.03,1261406.86,2521649.3,22475706.29,47201986.85
98.17,349932.23,1241434.4,2487761.05,22621439.26,47199063.12
98.25,334736.27,1246912.12,2511275.93,22793429.65,47434584.3
98.33,335761.5,1248347.4,2516141.58,22910396.49,47506667.29
98.42,326387.01,1238320.77,2513082.95,23020654.27,47774506.29
98.5,322578.14,1255415.67,2511444.8,23129343.89,47858172.58
98.58,316595.1,1235231.7,2507889.74,23105072.29,48037361.51
98.67,320706.18,1228665.75,2516440.92,23229251.06,48368862.76
98.75,313188.36,1209592.79,2531779.66,23353184.19,48387556.54
98.83,320466.14,1213829.88,2537031.01,23442233.62,48703406.92
98.92,329540.63,1212728.77,2516042.26,23428487.17,48761193.48
99.0,322673.22,1185054.2,2498741.98,23565638.69,48997647.52
99.08,317019.94,1185017.26,2547908.51,23499561.48,49378573.18
99.17,316131.19,1177799.9,2546000.67,23646582.85,49406260.06
99.25,314422.44,1206290.58,2538500.08,23859158.84,49550851.22
99.33,309047.98,1213331.57,2521168.57,23922667.0,50037664.38
99.42,304009.52,1200137.04,2520100.61,24027107.27,50058965.02
99.5,302427.69,1206961.0,2515546.77,24146930.04,50605003.29
99.58,304449.43,1218847.18,2522489.51,24232016.93,50840449.8
99.67,298198.72,1234361.07,2544917.74,24277148.93,50892636.55
99.75,290284.16,1257542.73,2528150.1,24377565.59,51208770.5
99.83,285912.63,1257719.58,2525948.31,24453244.12,51434968.78
99.92,282094.6,1243302.76,2518799.95,24554853.11,51297652.02
