age,p1,p2.5,p5,p50,p75
40.0,542939.81,605105.98,670499.46,1113548.26,1361911.84
40.08,541869.27,613513.77,677149.47,1126675.53,1373012.73
40.17,538338.12,614992.5,678792.54,1135953.3,1383866.13
40.25,540566.51,621655.2,683495.17,1142289.97,1398634.59
40.33,546466.28,621460.18,690856.66,1151784.07,1410547.47
40.42,551554.83,626387.94,694925.31,1160933.18,1425933.9
40.5,555228.06,629437.29,700244.95,1174847.11,1433913.76
40.58,556865.33,631651.33,703044.13,1184076.75,1446836.09
40.67,561023.08,639780.16,704395.96,1192826.68,1462201.37
40.75,569672.02,641975.62,710566.39,1202129.01,1475987.02
40.83,572194.76,649677.17,716580.62,1212678.39,1492732.05
40.92,577504.23,650526.04,725333.92,1223290.63,1507478.01
41.0,585083.02,652935.4,731356.84,1232642.16,1514870.64
41.08,587953.77,661350.74,737639.0,1241740.02,1529577.57
41.17,588357.74,663776.94,738758.47,1248886.53,1542739.62
41.25,600276.1,669427.09,745795.72,1260810.65,1550830.0
41.33,602187.17,672371.35,749040.68,1271170.49,1564651.03
41.42,608332.24,679801.91,753387.85,1279542.87,1582384.65
41.5,612426.81,683975.5,760063.45,1293126.77,1596553.06
41.58,616556.96,687327.14,766008.65,1304646.74,1608315.99
41.67,618441.13,691087.03,770620.26,1317370.17,1625690.55
41.75,617616.61,694724.8,774507.2,1326534.15,1642361.1
41.83,617937.24,695249.86,775324.91,1333026.04,1659792.48
41.92,628102.53,698192.05,780886.42,1342343.2,1670361.88
42.0,630538.14,705001.05,784343.98,1354466.99,1680936.17
42.08,631399.9,709658.17,792249.8,1363906.97,1693874.94
42.17,636026.93,714653.96,794248.21,1378766.33,1707365.05
42.25,638027.32,723806.18,804780.62,1391364.54,1726191.37
42.33,642433.42,729573.04,805586.15,1397961.32,1742877.57
42.42,645010.67,729939.83,811436.12,1408824.16,1759232.06
42.5,650443.14,736951.25,814839.68,1416511.49,1771089.2
42.58,654582.6,736911.33,815075.72,1431394.81,1787391.37
42.67,655142.87,739660.17,822450.44,1438527.6,1804616.61
42.75,657706.85,742985.65,825542.9,1447081.57,1814033.14
42.83,660178.05,747445.92,832956.45,1457622.04,1831711.33
42.92,665485.17,752873.73,836499.4,1466629.88,1846763.49
43.0,666655.67,755116.94,842352.89,1478259.16,1861206.98
43.08,667229.36,756857.13,845691.5,1485430.45,1875881.8
43.17,673371.81,758049.93,856564.9,1495250.39,1889738.54
43.25,671568.38,764873.44,860956.68,1508363.59,1903750.32
43.33,675604.13,771991.5,868442.31,1519047.84,1922195.14
43.42,673653.4,769071.19,863958.72,1534042.93,1944488.93
43.5,684441.73,774839.2,873885.58,1543414.1,1955963.94
43.58,688708.72,780544.64,877393.71,1556024.66,1963640.12
43.67,696170.86,788237.44,879560.88,1564088.12,1982216.04
43.75,697937.87,792411.79,885314.16,1573445.6,2003243.96
43.83,696473.71,800891.12,893594.22,1585960.8,2018645.04
43.92,705588.62,810317.25,897469.63,1596862.0,2024270.91
44.0,703934.45,807192.42,906456.99,1607877.7,2041570.4
44.08,709359.21,811693.56,908110.96,1618039.82,2061250.86
44.17,709391.7,813984.31,913121.63,1632274.89,2078599.78
44.25,711398.17,820351.69,916422.77,1644894.14,2091909.56
44.33,711482.76,823226.08,926618.45,1654578.79,2108315.3
44.42,713553.68,829704.59,929281.97,1668874.62,2124215.3
44.5,729404.89,831147.94,935934.33,1684436.38,2138734.88
44.58,731189.52,843327.54,939756.21,1690067.84,2154445.42
44.67,732387.79,841348.64,944125.09,1700020.34,2167037.31
44.75,738503.27,850440.94,946799.5,1711189.52,2190592.45
44.83,744451.06,857080.98,951873.73,1722041.87,2203373.95
44.92,748260.36,863916.68,960888.75,1736051.89,2224349.26
45.0,745553.12,867293.15,964960.72,1752062.84,2238229.25
45.08,748443.14,866332.42,967127.87,1762546.56,2253713.87
45.17,754303.09,875271.48,972446.08,1773885.28,2275367.0
45.25,764748.45,873707.92,982951.96,1783204.31,2285748.29
45.33,766429.11,875334.23,982552.21,1793098.03,2301199.7
45.42,770873.86,879675.74,984899.37,1804477.75,2312989.64
45.5,778678.52,880319.46,987434.73,1813975.54,2327503.96
45.58,786871.66,884749.08,996597.91,1827812.09,2348392.1
45.67,793240.91,894236.34,997512.89,1841722.83,2363714.54
45.75,788824.85,894537.24,1003326.28,1853050.39,2383931.37
45.83,789889.41,901699.43,1011111.67,1865781.62,2404683.84
45.92,792567.33,906796.83,1017076.66,1881057.72,2423973.32
46.0,787256.07,913456.78,1025397.15,1891136.98,2436014.52
46.08,797645.77,915905.61,1034254.58,1902726.77,2456316.03
46.17,798877.76,924777.39,1036658.32,1919038.64,2476238.7
46.25,805116.52,927669.34,1039894.14,1932479.64,2494489.2
46.33,809334.79,931725.03,1049422.57,1948713.21,2516450.55
46.42,812798.84,939849.29,1050959.3,1960295.65,2533584.96
46.5,811775.22,947371.5,1057904.83,1974127.26,2551113.06
46.58,816791.62,949044.01,1059136.37,1985693.9,2568295.57
46.67,823500.79,956274.82,1066091.66,1998532.8,2589259.7
46.75,838601.81,964312.29,1071766.62,2011812.89,2610111.2
46.83,829525.2,966523.54,1080943.39,2024210.35,2635418.15
46.92,835298.21,972428.22,1088152.13,2030628.53,2656216.0
47.0,844435.19,977636.22,1086877.67,2041980.72,2669818.77
47.08,851873.93,980204.49,1094053.96,2058295.21,2696409.61
47.17,856070.24,979912.42,1097634.89,2068987.19,2717108.28
47.25,862853.01,987340.18,1112234.19,2082401.93,2736270.7
47.33,870637.74,984795.46,1117534.97,2088596.82,2758244.48
47.42,871210.17,994905.95,1120861.56,2105727.89,2767596.75
47.5,873724.51,1001810.8,1126177.86,2119273.97,2791115.9
47.58,884040.7,994456.47,1126901.76,2132001.82,2813537.73
47.67,886271.21,1009435.84,1137393.29,2149655.16,2834897.54
47.75,883970.31,1009633.01,1147204.93,2161862.98,2849895.19
47.83,881157.31,1011888.2,1153367.67,2170723.6,2874506.33
47.92,883008.97,1014274.66,1160676.9,2186092.01,2882486.37
48.0,888222.13,1017206.11,1162558.25,2204218.09,2906173.51
48.08,888572.2,1017354.43,1166575.67,2219281.36,2921380.14
48.17,883372.9,1027035.34,1170313.63,2231007.66,2949696.46
48.25,889930.06,1030077.2,1178559.11,2245438.3,2976739.5
48.33,902628.28,1037168.14,1184288.3,2252468.52,3003552.73
48.42,906472.1,1045655.67,1190517.6,2269126.02,3022222.63
48.5,916961.57,1050892.42,1197341.85,2284131.47,3041280.4
48.58,920663.34,1062179.65,1208658.62,2296659.69,3062985.99
48.67,931689.54,1066659.56,1216828.26,2315866.09,3074180.12
48.75,925358.36,1069160.36,1210428.25,2331979.48,3101115.2
48.83,931826.54,1079843.36,1222503.83,2347157.76,3115896.59
48.92,942999.17,1088054.93,1219649.2,2363949.89,3139878.52
49.0,944040.31,1093490.07,1227022.66,2376892.29,3162649.76
49.08,939316.45,1097874.42,1229884.47,2400457.82,3175149.77
49.17,952204.96,1099964.06,1236349.33,2416962.42,3192639.9
49.25,942084.86,1105058.5,1251021.13,2424002.96,3221795.41
49.33,956553.12,1105582.66,1255754.58,2433480.98,3245392.67
49.42,962532.18,1112049.21,1257455.04,2449842.52,3266506.49
49.5,960451.31,1112625.98,1263341.56,2467979.9,3294858.32
49.58,961323.25,1115208.25,1258277.99,2485875.95,3306342.69
49.67,965737.33,1117742.0,1265820.47,2492527.81,3325790.24
49.75,967148.38,1125903.09,1269480.99,2511182.55,3356979.78
49.83,969270.82,1127718.73,1283785.42,2527273.04,3388180.21
49.92,967362.36,1134986.56,1289526.58,2540406.89,3401094.45
50.0,981621.04,1150005.95,1291623.7,2551047.9,3423371.54
50.08,967167.25,1142805.3,1295652.06,2569621.66,3444259.82
50.17,974248.28,1150478.26,1302706.0,2581023.62,3462559.78
50.25,969905.42,1154393.32,1304047.8,2601048.54,3477574.69
50.33,980711.27,1152490.89,1312442.8,2615387.06,3508389.44
50.42,991935.47,1157459.8,1316863.71,2636366.87,3531806.16
50.5,990423.48,1164780.3,1325674.52,2653745.98,3551007.32
50.58,994927.72,1170317.19,1340918.47,2668110.78,3564070.08
50.67,1010947.55,1178147.02,1351342.62,2688290.88,3599360.19
50.75,1012191.13,1182253.82,1352980.36,2707999.79,3628540.46
50.83,1023807.2,1189327.07,1359802.2,2722258.22,3647125.66
50.92,1024334.38,1185096.32,1366974.83,2731442.99,3675831.68
51.0,1018359.25,1195708.04,1377363.41,2754704.21,3706526.19
51.08,1010894.28,1205244.14,1380379.26,2763061.89,3719119.62
51.17,1007216.56,1205121.67,1381770.19,2782179.06,3746712.77
51.25,1013582.57,1205378.49,1381587.55,2803045.13,3770079.47
51.33,1025309.21,1210209.91,1392459.28,2816990.02,3797297.9
51.42,1019685.57,1213375.92,1402044.05,2824855.89,3822926.65
51.5,1033234.05,1219092.63,1400184.84,2846899.91,3847491.22
51.58,1046875.82,1223108.33,1412662.85,2858134.03,3867525.25
51.67,1044001.24,1213498.43,1413407.98,2876707.84,3890694.76
51.75,1038897.98,1226599.3,1426480.23,2886531.5,3908713.42
51.83,1042539.66,1226780.17,1432028.65,2909319.67,3950712.8
51.92,1048561.91,1238919.44,1428003.98,2918027.96,3972889.18
52.0,1044317.6,1246220.78,1438111.53,2935692.61,4003825.86
52.08,1054203.64,1240456.95,1453181.28,2952797.97,4035715.96
52.17,1062865.11,1250380.29,1449944.78,2973822.98,4060150.37
52.25,1058785.23,1252221.85,1460503.84,2993830.33,4066841.52
52.33,1059096.31,1247894.14,1470808.08,3015370.77,4107399.33
52.42,1065864.15,1249874.24,1472087.82,3030413.05,4126853.3
52.5,1073966.91,1267409.28,1476637.58,3044562.87,4154073.37
52.58,1073609.74,1267667.16,1479031.49,3069194.0,4161968.83
52.67,1076559.58,1282687.84,1485622.58,3087003.46,4196946.01
52.75,1087238.33,1279707.75,1483700.65,3102790.92,4224609.28
52.83,1097410.64,1284228.46,1497717.85,3110757.21,4246443.32
52.92,1107543.15,1289996.68,1504840.7,3134854.97,4282791.18
53.0,1111002.02,1283796.61,1507548.69,3152179.46,4299397.69
53.08,1104843.73,1293217.61,1514384.3,3170048.6,4331346.6
53.17,1114715.05,1297678.3,1521100.56,3194789.48,4359927.54
53.25,1107235.76,1302677.71,1524421.57,3208532.19,4378947.48
53.33,1113345.75,1314899.47,1530025.58,3226536.81,4416325.77
53.42,1096653.42,1320215.14,1532083.66,3234131.1,4444950.26
53.5,1111259.62,1326490.72,1538776.19,3249364.53,4499750.3
53.58,1117821.81,1338201.77,1542923.31,3257454.18,4510117.78
53.67,1113148.73,1345279.93,1559823.17,3286538.95,4537771.44
53.75,1126451.61,1343493.25,1567659.7,3309239.02,4563840.07
53.83,1142018.3,1346336.1,1566132.17,3325597.09,4590873.16
53.92,1142815.31,1347386.17,1575483.33,3350450.22,4602175.34
54.0,1156889.92,1356648.15,1574802.33,3370541.8,4634254.69
54.08,1163199.33,1357615.73,1586143.68,3390155.54,4671973.87
54.17,1165890.77,1367757.58,1599589.73,3409591.54,4689454.07
54.25,1165916.93,1379218.9,1602021.33,3419725.88,4718763.26
54.33,1170093.66,1389061.97,1608275.93,3439619.04,4740264.09
54.42,1162365.43,1391981.81,1611931.14,3460664.24,4769584.57
54.5,1166223.61,1395903.69,1619396.45,3471318.32,4788509.77
54.58,1173158.09,1403792.68,1619985.17,3496098.34,4806609.13
54.67,1190648.22,1412858.63,1628126.59,3507502.94,4841921.47
54.75,1185647.45,1413522.1,1633048.73,3531361.99,4861907.14
54.83,1188484.49,1416560.48,1645834.8,3549481.72,4893606.71
54.92,1180813.55,1426425.52,1650046.87,3577281.81,4925019.94
55.0,1167349.69,1417256.13,1649680.38,3585392.48,4947627.24
55.08,1184279.98,1425984.79,1660038.23,3606541.54,4965639.19
55.17,1181864.85,1423192.05,1657850.83,3619894.19,4988351.87
55.25,1194896.56,1419505.23,1652465.52,3635923.62,5006324.23
55.33,1186257.22,1418345.17,1658184.24,3644908.73,5033320.13
55.42,1195427.42,1418900.05,1646876.83,3661495.87,5054726.6
55.5,1190539.52,1414143.84,1647754.7,3672243.91,5080233.97
55.58,1186064.15,1403731.0,1652204.42,3674692.55,5093840.32
55.67,1196091.44,1401262.14,1641215.57,3685853.22,5106422.8
55.75,1195591.62,1408617.84,1640362.72,3691076.63,5138241.22
55.83,1197441.11,1403825.74,1640696.15,3691483.83,5160795.49
55.92,1195919.25,1416601.49,1641297.99,3710485.86,5180706.93
56.0,1187315.99,1402239.97,1647489.26,3723968.85,5203652.6
56.08,1193821.36,1399048.68,1641438.06,3733290.34,5226447.11
56.17,1198944.15,1397752.74,1634188.66,3756540.95,5238956.67
56.25,1183907.55,1398887.79,1634858.0,3765076.67,5267197.0
56.33,1177629.52,1393008.94,1645083.98,3767776.9,5314450.55
56.42,1171001.28,1399211.96,1643024.22,3787267.78,5331290.17
56.5,1169560.33,1400704.86,1635836.02,3798642.09,5362048.67
56.58,1165312.54,1390980.94,1628357.55,3813126.38,5383133.66
56.67,1182358.46,1399716.46,1631388.92,3821645.02,5406373.37
56.75,1170633.04,1388637.59,1623989.03,3838120.39,5428325.76
56.83,1166288.62,1378988.02,1626953.12,3843016.33,5459189.55
56.92,1165870.66,1378117.49,1628419.61,3855061.46,5475982.32
57.0,1146200.85,1376246.38,1629870.39,3878648.8,5487869.58
57.08,1136251.25,1382339.17,1630621.82,3891282.48,5511074.24
57.17,1153076.62,1389543.35,1625177.5,3909582.01,5538614.86
57.25,1145476.83,1391232.38,1620173.75,3909190.54,5545929.34
57.33,1134736.65,1368124.4,1613940.54,3928438.6,5580171.75
57.42,1135034.7,1373634.66,1614393.23,3927871.84,5620534.48
57.5,1124410.17,1357817.61,1626993.88,3942630.89,5648052.11
57.58,1128436.06,1362057.72,1621737.09,3961813.88,5670234.98
57.67,1130660.79,1367401.65,1628042.66,3975787.77,5706573.59
57.75,1130176.08,1365516.51,1626901.65,3991089.56,5734096.69
57.83,1134389.17,1364594.15,1623165.56,4009834.04,5760222.15
57.92,1128849.72,1364824.57,1619947.39,4006068.43,5801153.65
58.0,1130839.92,1353930.17,1640326.56,4032102.45,5822860.78
58.08,1119436.84,1361465.74,1639856.27,4040958.15,5824423.55
58.17,1121816.7,1360892.01,1640793.78,4044810.36,5839312.54
58.25,1116244.04,1367067.35,1644955.18,4056891.01,5877580.97
58.33,1103746.37,1364738.87,1637575.94,4058962.91,5923565.77
58.42,1104454.93,1361768.14,1640263.37,4084465.46,5951283.1
58.5,1121949.87,1354970.15,1629043.19,4097207.25,5982472.24
58.58,1108980.21,1348452.46,1637675.64,4122937.63,6005488.83
58.67,1128660.5,1345732.88,1636586.46,4131052.36,6035738.17
58.75,1131608.29,1355847.48,1642968.13,4157045.94,6065673.77
58.83,1128157.42,1352409.63,1640216.88,4169130.9,6109869.44
58.92,1129698.1,1357598.31,1643252.45,4176494.17,6127360.27
59.0,1111355.15,1353510.95,1640797.13,4185915.47,6182706.02
59.08,1116515.52,1348835.57,1640413.31,4206573.13,6214767.47
59.17,1097810.07,1347027.74,1634127.02,4217315.6,6239401.63
59.25,1101116.09,1357360.47,1624382.47,4230183.41,6253725.13
59.33,1096846.36,1347729.8,1627240.56,4252827.57,6288065.12
59.42,1095246.71,1355934.72,1621608.7,4262361.87,6316370.83
59.5,1099051.31,1359958.61,1636081.61,4255165.59,6325568.9
59.58,1083954.48,1364568.23,1636149.72,4269258.87,6373648.43
59.67,1091961.94,1375728.57,1634359.78,4297169.01,6397346.99
59.75,1088251.11,1382975.71,1630564.72,4305633.56,6418444.18
59.83,1076399.63,1378754.0,1624901.65,4330396.13,6456825.43
59.92,1079650.96,1374927.19,1623661.35,4336822.01,6503098.91
60.0,1075122.82,1375105.27,1630146.31,4356076.12,6503728.18
60.08,1072304.63,1365366.43,1638518.97,4374404.68,6562460.9
60.17,1068341.55,1365662.21,1627750.5,4373951.84,6569844.75
60.25,1083167.15,1356712.01,1632102.16,4380261.86,6583720.13
60.33,1086782.57,1361078.89,1642669.73,4400819.76,6620007.08
60.42,1084511.9,1368738.19,1641865.44,4423637.8,6649358.94
